date,IFB,ifb.r
5/4/2013,554.6,0
5/5/2013,549.8,-0.869255745
5/6/2013,552.4,0.47178458
5/7/2013,542.4,-1.826868491
5/8/2013,543.4,0.184196037
5/11/2013,548.5,0.934158272
5/12/2013,550.1,0.291280017
5/13/2013,536.4,-2.521992847
5/14/2013,521.9,-2.740415276
5/15/2013,518,-0.750075639
5/18/2013,505.1,-2.521881279
5/19/2013,504.8,-0.059411825
5/20/2013,511.7,1.357620458
5/21/2013,514.3,0.506823697
5/22/2013,514.2,-0.019445795
5/25/2013,527.5,2.553657052
5/26/2013,539.7,2.286456427
5/27/2013,534.5,-0.968169916
5/28/2013,534.3,-0.03742515
5/29/2013,537.3,0.559911877
6/1/2013,531,-1.179457649
6/2/2013,534.7,0.694382071
6/3/2013,527.2,-1.412585877
6/8/2013,525.9,-0.246890259
6/9/2013,521,-0.936103884
6/10/2013,524,0.574164257
6/11/2013,526.4,0.456969569
6/12/2013,527.1,0.132890385
6/15/2013,548.1,3.906746819
6/16/2013,555.4,1.323082282
6/17/2013,557.2,0.323566703
6/18/2013,564.7,1.337037477
6/19/2013,566.2,0.2652756
6/22/2013,557.4,-1.566425763
6/23/2013,556,-0.25148208
6/25/2013,560.3,0.770406032
6/26/2013,574.8,2.554979963
6/29/2013,584.5,1.673462671
6/30/2013,584,-0.085579808
7/1/2013,590.9,1.174581552
7/2/2013,581.6,-1.586387213
7/3/2013,593.5,2.025428783
7/6/2013,608.8,2.54525925
7/7/2013,605.6,-0.527010442
7/8/2013,599.7,-0.979017195
7/9/2013,596.2,-0.585334893
7/10/2013,599.2,0.501925096
7/13/2013,588.7,-1.767871617
7/14/2013,582.9,-0.990107098
7/15/2013,585.8,0.496278934
7/16/2013,586.4,0.102371618
7/17/2013,595.3,1.506332959
7/20/2013,609.3,2.32452771
7/21/2013,607,-0.378196619
7/22/2013,609.4,0.394607549
7/23/2013,610.5,0.1803427
7/24/2013,616.9,1.042864266
7/27/2013,618.6,0.275192404
7/28/2013,615.4,-0.518639736
7/29/2013,616.5,0.178585972
7/31/2013,620.4,0.63061087
8/3/2013,617.4,-0.484731923
8/4/2013,617,-0.064808816
8/5/2013,619.7,0.436646606
8/6/2013,621.7,0.322217131
8/7/2013,630.6,1.421408584
8/12/2013,630.9,0.047562427
8/13/2013,632.1,0.19002381
8/14/2013,631,-0.174174694
8/17/2013,635.9,0.773545573
8/18/2013,624.4,-1.825012963
8/19/2013,620.9,-0.562115027
8/20/2013,610.9,-1.623675872
8/21/2013,613,0.343165628
8/24/2013,621,1.2966146
8/25/2013,620.9,-0.016104356
8/26/2013,619.8,-0.177319302
8/27/2013,617.1,-0.436576003
8/28/2013,598.3,-3.093878493
8/31/2013,606.2,1.311766423
9/1/2013,625.5,3.134136528
9/3/2013,630,0.716848948
9/4/2013,604.3,-4.164905602
9/7/2013,602.5,-0.2983098
9/8/2013,617.6,2.475333335
9/9/2013,631.6,2.241528367
9/10/2013,658.4,4.155636698
9/11/2013,672.9,2.178408083
9/14/2013,667.9,-0.745826846
9/15/2013,670.3,0.358691163
9/16/2013,671.3,0.149075758
9/17/2013,679.8,1.258250632
9/18/2013,689,1.344263375
9/21/2013,697.9,1.283455501
9/22/2013,679.5,-2.671859243
9/23/2013,693.7,2.06823568
9/24/2013,686.7,-1.014207476
9/25/2013,691.5,0.696563548
9/28/2013,708.3,2.400458165
9/29/2013,713.6,0.745484851
9/30/2013,726,1.722743356
10/1/2013,736.1,1.381596424
10/2/2013,737.1,0.135758913
10/5/2013,746.9,1.320773917
10/6/2013,754.8,1.052150613
10/7/2013,751.9,-0.384947711
10/8/2013,762,1.33432193
10/9/2013,783.2,2.744153553
10/12/2013,807.3,3.030725518
10/13/2013,806.5,-0.099144884
10/14/2013,802.1,-0.547060919
10/15/2013,821.1,2.341161634
10/19/2013,848.2,3.247155233
10/20/2013,831.4,-2.000543022
10/21/2013,837.9,0.77877348
10/22/2013,819.8,-2.183835355
10/23/2013,814.8,-0.611772372
10/26/2013,816.8,0.24515825
10/27/2013,796.1,-2.566946076
10/28/2013,795.8,-0.03769081
10/29/2013,813,2.138321155
10/30/2013,820.4,0.906091665
11/2/2013,810.2,-1.251089543
11/3/2013,795.2,-1.868747543
11/4/2013,791.9,-0.415853413
11/5/2013,804.4,1.566153668
11/6/2013,818.5,1.737673891
11/9/2013,823.9,0.657576651
11/10/2013,814.5,-1.147473528
11/11/2013,807.7,-0.838372559
11/12/2013,807.8,0.012380068
11/16/2013,822,1.742589193
11/17/2013,811.1,-1.334904398
11/18/2013,812.2,0.135526418
11/19/2013,825.7,1.648489617
11/20/2013,828,0.278164296
11/23/2013,847.5,2.327768487
11/24/2013,862.8,1.789207526
11/25/2013,875.7,1.484065201
11/26/2013,861.1,-1.681292483
11/27/2013,858.7,-0.279102402
11/30/2013,856.5,-0.256529991
12/1/2013,859.6,0.3612847
12/2/2013,846.6,-1.523883668
12/3/2013,845.5,-0.130015975
12/4/2013,846.3,0.094573834
12/7/2013,844.2,-0.248447333
12/8/2013,861.5,2.028562262
12/9/2013,866.8,0.613321369
12/10/2013,873.3,0.747086976
12/11/2013,876.1,0.320110025
12/14/2013,869.7,-0.733191508
12/15/2013,891.1,2.430833002
12/16/2013,904.1,1.448331912
12/17/2013,894.7,-1.045150719
12/18/2013,886.4,-0.932015056
12/21/2013,865,-2.443880906
12/22/2013,867.4,0.277072447
12/24/2013,886.8,2.211924634
12/25/2013,884.4,-0.271002876
12/28/2013,877.6,-0.771854002
12/29/2013,870,-0.869769731
12/30/2013,866.6,-0.391570234
1/1/2014,873.8,0.827400721
1/4/2014,879.5,0.650204766
1/5/2014,866.6,-1.477605487
1/6/2014,858.6,-0.927435352
1/7/2014,848.6,-1.171522302
1/8/2014,843.6,-0.590948416
1/11/2014,850.5,0.814596323
1/12/2014,821.5,-3.469247436
1/13/2014,847.8,3.151282144
1/14/2014,847.8,0
1/15/2014,827.2,-2.459825516
1/18/2014,831.3,0.494423678
1/20/2014,810.6,-2.521602634
1/21/2014,820.3,1.189541281
1/22/2014,803,-2.131541306
1/25/2014,802.6,-0.049825611
