year	LI
1357	2578.60
1358	3550.00
1359	4508.10
1360	5236.10
1361	6430.70
1362	7514.40
1363	7966.90
1364	9002.10
1365	10722.60
1366	12668.20
1367	15687.60
1368	18753.30
1369	22969.50
1370	28628.30
1371	35866.00
1372	48135.00
1373	61843.90
1374	85072.20
1375	116552.60
1376	134286.30
1377	160401.50
1378	192689.20
1379	249110.70
1380	320957.20
1381	417524.00
1382	526596.40
1383	685867.20
1384	921019.40
1385	1284199.40
1386	1640293.00
1387	1901366.00
1388	2355889.10
1389	2948874.20
1390	3542551.90
1391	4606935.90
1392	6395504.80
