gold	
 5.73271 	0.758359736
 5.73015 	0.758165951
 5.73585 	0.758598161
 5.75377 	0.759952393
 5.75693 	0.760190618
 5.74867 	0.759567272
 5.78164 	0.762050853
 5.79660 	0.763173034
 5.79216 	0.762840323
 5.78835 	0.762555033
 5.78124 	0.762021045
 5.76691 	0.760943192
 5.75380 	0.759954616
 5.75202 	0.759820303
 5.74159 	0.759032535
 5.72456 	0.757742048
 5.72671 	0.757905507
 5.73495 	0.758529585
 5.73321 	0.758398152
 5.74669 	0.759418098
 5.73685 	0.758673119
 5.73235 	0.758332499
 5.72556 	0.757817611
 5.71723 	0.757185564
 5.71799 	0.757243222
 5.73690 	0.758677508
 5.75339 	0.759924171
 5.73394 	0.758453022
 5.73470 	0.758510439
 5.73522 	0.758549985
 5.74724 	0.759459398
 5.76051 	0.760460796
 5.76225 	0.760592441
 5.76618 	0.760888477
 5.78013 	0.76193756
 5.78271 	0.762131123
 5.77650 	0.76166499
 5.78560 	0.762348213
 5.78851 	0.762566796
 5.78569 	0.762355246
 5.79617 	0.763141074
 5.82938 	0.765622056
 5.84922 	0.767097936
 5.87376 	0.768916518
 5.84703 	0.766935052
 5.84315 	0.766647012
 5.85350 	0.767415847
 5.84974 	0.76713657
 5.85617 	0.767613347
 5.88184 	0.769512954
 5.88453 	0.76971151
 5.88934 	0.770066902
 5.91110 	0.771667971
 5.91947 	0.772282555
 5.92713 	0.772844621
 5.93340 	0.773303895
 5.94344 	0.774038061
 5.92568 	0.772738263
 5.91975 	0.772303324
 5.92554 	0.772727947
 5.92971 	0.773033286
 5.94219 	0.773946583
 5.95252 	0.774700627
 5.97313 	0.776201671
 5.98900 	0.777354131
 5.97936 	0.776654519
 5.97820 	0.776570467
 5.99995 	0.778147821
 5.99764 	0.777980216
 5.98477 	0.777047484
 5.97549 	0.77637357
 5.98043 	0.776732589
 5.98450 	0.777027797
 5.99128 	0.777519538
 6.00759 	0.778700217
 6.01694 	0.779375666
 6.05671 	0.78223709
 6.07601 	0.783618257
 6.10707 	0.785832884
 6.13287 	0.787663414
 6.17250 	0.790461315
 6.19263 	0.791875017
 6.14722 	0.788679095
 6.15367 	0.789134101
 6.15785 	0.789428899
 6.14217 	0.788321594
 6.13210 	0.787609376
 6.14632 	0.788615228
 6.14896 	0.788801891
 6.15275 	0.789069141
 6.17376 	0.790549651
 6.18835 	0.791574639
 6.18880 	0.791606258
 6.18160 	0.791100983
 6.17598 	0.790705645
 6.17677 	0.790761743
 6.18097 	0.791056684
 6.19358 	0.791942011
 6.22498 	0.79413793
 6.26854 	0.797166244
 6.26422 	0.796866921
 6.28592 	0.798368656
 6.32266 	0.800899941
 6.35095 	0.802838381
 6.33177 	0.801525085
 6.31171 	0.800147031
 6.31862 	0.800622513
 6.32955 	0.80137281
 6.31817 	0.800591495
 6.29604 	0.799067627
 6.31769 	0.800558428
 6.28054 	0.797997121
 6.29895 	0.799267954
 6.30018 	0.799353053
 6.31044 	0.800059653
 6.34140 	0.80218519
 6.33308 	0.801614879
 6.32964 	0.80137909
 6.33817 	0.801963828
 6.34684 	0.802557671
 6.35213 	0.80291906
 6.36167 	0.803571218
 6.38894 	0.805428895
 6.41557 	0.80723522
 6.43633 	0.808638503
 6.42756 	0.808045852
 6.42117 	0.807614422
 6.42843 	0.808104818
 6.43310 	0.808420081
 6.45352 	0.809796958
 6.47975 	0.811558488
 6.48204 	0.811711643
 6.47565 	0.811283347
 6.49471 	0.812559498
 6.53542 	0.815273551
 6.53378 	0.815164385
 6.53951 	0.815544887
 6.55579 	0.81662503
 6.55391 	0.816500503
 6.58496 	0.818553024
 6.61145 	0.820296403
 6.62629 	0.821270618
 6.64994 	0.822817422
 6.63640 	0.821932453
 6.66004 	0.823476915
 6.76949 	0.83055581
 6.75783 	0.829807131
 6.77590 	0.830967167
 6.78239 	0.831382619
 6.80786 	0.83301052
 6.92085 	0.840159599
 6.90196 	0.838972297
 6.87294 	0.837142379
 6.82041 	0.83381032
 6.82679 	0.834216505
 6.85837 	0.836220831
 6.87775 	0.837446193
 6.94961 	0.841960172
 7.08989 	0.850639695
 7.09401 	0.850891786
 7.07487 	0.849718421
 7.11230 	0.852010213
 7.16731 	0.855356395
 7.14827 	0.854201131
 7.13909 	0.853642638
 7.12287 	0.852654956
 7.11333 	0.852072985
 7.04208 	0.847700835
 7.02704 	0.84677241
 7.02384 	0.846574858
 6.98398 	0.844102902
 6.97567 	0.84358581
 6.93941 	0.841322299
 6.94063 	0.841398815
 6.94915 	0.841931653
 6.98828 	0.844370506
 6.98473 	0.8441494
 7.00098 	0.845158572
 6.98394 	0.844100493
 6.98245 	0.844007536
 6.97784 	0.843720875
 6.97224 	0.84337215
 6.97146 	0.843323576
 6.96170 	0.842715279
 6.98318 	0.84405293
 6.99843 	0.845000854
 7.00636 	0.845492655
 6.98573 	0.844211534
 6.98390 	0.844098013
 6.97694 	0.843664776
 6.96483 	0.842910461
 6.95064 	0.842024793
 6.94708 	0.841802341
 6.96355 	0.842830806
 6.97062 	0.843271285
 6.96606 	0.842987427
 6.96252 	0.842766456
 6.97066 	0.843273698
